0,-0.125,0.083333333,-0.041666667,0.1875,-0.416666667,-0.25,-0.375,-0.145833333,-0.25
0.125,0,0.229166667,0.020833333,0.145833333,-0.3125,-0.145833333,-0.291666667,-0.333333333,-0.229166667
-0.083333333,-0.229166667,0,-0.145833333,0.083333333,-0.416666667,-0.229166667,-0.333333333,-0.3125,-0.395833333
0.041666667,-0.020833333,0.145833333,0,0.291666667,-0.333333333,-0.125,-0.270833333,-0.166666667,-0.291666667
-0.1875,-0.145833333,-0.083333333,-0.291666667,0,-0.458333333,-0.291666667,-0.416666667,-0.3125,-0.208333333
0.416666667,0.3125,0.416666667,0.333333333,0.458333333,0,0.333333333,0.229166667,0.291666667,0.25
0.25,0.145833333,0.229166667,0.125,0.291666667,-0.333333333,0,0.0625,-0.083333333,0.0625
0.375,0.291666667,0.333333333,0.270833333,0.416666667,-0.229166667,-0.0625,0,0.229166667,0.041666667
0.145833333,0.333333333,0.3125,0.166666667,0.3125,-0.291666667,0.083333333,-0.229166667,0,0.125
0.25,0.229166667,0.395833333,0.291666667,0.208333333,-0.25,-0.0625,-0.041666667,-0.125,0
